date,Account,num_trades,daily_pnl,total_volume_usd,avg_trade_size,wins,losses,closed_trades_count,win_rate,long_short_ratio,sentiment_value,sentiment_class,frequency_segment,volume_segment
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,477.0,159.0,0,0,0,,3.0,63,Greed,Infrequent,Low Volume
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,50005.83,5556.203333333334,0,0,0,,3.5,75,Extreme Greed,Frequent,Low Volume
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5,-205.43473700000007,113203.35,10291.213636363636,4,2,6,0.6666666666666666,0.8333333333333334,72,Greed,Frequent,Low Volume
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,-24.632033999999997,10609.95,5304.975,0,2,2,0.0,2.0,70,Greed,Frequent,Low Volume
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,15348.77,5116.256666666667,0,0,0,,3.0,67,Greed,Frequent,Low Volume
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5,304.982785,116278.02,8305.572857142857,7,4,11,0.6363636363636364,0.2727272727272727,73,Greed,Frequent,Low Volume
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,31164.179999999997,15582.089999999998,0,0,0,,2.0,65,Greed,Frequent,Low Volume
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,1000.5386120000001,91602.41,6106.827333333334,10,0,10,1.0,0.5,73,Greed,Frequent,Low Volume
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,162.732282,141636.79,7868.710555555556,8,0,8,1.0,1.25,74,Greed,Frequent,Low Volume
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,537.211402,125233.97,2555.795306122449,26,1,27,0.9629629629629629,0.8148148148148148,70,Greed,Frequent,Low Volume
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,141.832675,88874.28,8887.428,2,0,2,1.0,4.0,74,Greed,Frequent,Low Volume
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,146.936704,78438.25,6033.711538461538,8,0,8,1.0,0.625,70,Greed,Frequent,Low Volume
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,10,1008.619956,402954.94,10332.177948717948,15,2,17,0.8823529411764706,1.1666666666666667,71,Greed,Frequent,Low Volume
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,-245.081348,59948.51,19982.836666666666,0,1,1,0.0,2.0,73,Greed,Frequent,Low Volume
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,-704.8892269999999,171411.06,6121.823571428571,4,9,13,0.3076923076923077,1.1538461538461537,73,Greed,Frequent,Low Volume
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,-970.730876,100117.25,4352.923913043478,0,13,13,0.0,0.7692307692307693,73,Greed,Frequent,Low Volume
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,19,508.92214299999995,569559.72,11391.1944,15,5,20,0.75,1.631578947368421,65,Greed,Frequent,Low Volume
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15,354.998648,702550.21,13510.58096153846,23,10,33,0.696969696969697,0.625,68,Greed,Frequent,Low Volume
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,-129.53146,264239.52999999997,14679.973888888888,1,5,6,0.16666666666666666,1.25,65,Greed,Frequent,Low Volume
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,783.979116,121348.74,7138.1611764705885,8,1,9,0.8888888888888888,1.125,71,Greed,Frequent,Low Volume
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14,866.015507,394499.36,5888.050149253731,28,7,35,0.8,0.9142857142857143,70,Greed,Frequent,Low Volume
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,-67.60364,99792.54000000001,19958.508,0,3,3,0.0,0.6666666666666666,68,Greed,Frequent,Low Volume
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,28,164.141565,1703942.66,25817.31303030303,13,10,23,0.5652173913043478,0.8857142857142857,72,Greed,Frequent,Low Volume
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,135.58166400000002,298521.4,13569.154545454547,10,2,12,0.8333333333333334,1.0,70,Greed,Frequent,Low Volume
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,26,-835.681235,1048850.06,10812.887216494846,9,28,37,0.24324324324324326,1.1555555555555554,71,Greed,Frequent,Low Volume
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,38,-269.874439,1522452.43,11894.159609375,32,35,67,0.47761194029850745,0.45454545454545453,71,Greed,Frequent,Low Volume
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,25,-826.349863,870051.97,12429.313857142857,18,10,28,0.6428571428571429,0.6666666666666666,76,Extreme Greed,Frequent,Low Volume
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,105,-1517.091342,2057479.48,10660.515440414507,41,42,83,0.4939759036144578,0.9108910891089109,73,Greed,Frequent,Low Volume
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,46133.87,23066.935,0,0,0,,2.0,76,Extreme Greed,Infrequent,Low Volume
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,-164.08950099999998,259180.22999999998,13641.064736842105,5,4,9,0.5555555555555556,1.375,76,Extreme Greed,Frequent,Low Volume
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5,-1925.519024,200082.27,28583.181428571428,0,2,2,0.0,2.5,71,Greed,Frequent,Low Volume
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,152.85358,629.86,69.98444444444445,9,0,9,1.0,0.0,52,Neutral,Infrequent,Low Volume
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,50006.24,10001.248,0,0,0,,5.0,52,Neutral,Frequent,Low Volume
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3,-3238.8,63482.08,10580.346666666666,0,2,2,0.0,2.0,64,Greed,Infrequent,Low Volume
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,939.6285419999999,52945.25,17648.416666666668,3,0,3,1.0,0.0,64,Greed,Frequent,Low Volume
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,29,813.2741110000001,800831.03,15110.019433962265,11,8,19,0.5789473684210527,1.4090909090909092,60,Greed,Frequent,Low Volume
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,25,68.93319,424631.52999999997,9231.120217391304,3,6,9,0.3333333333333333,0.6428571428571429,63,Greed,Frequent,Low Volume
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,7,-0.20400000000000001,1526.81,169.64555555555555,1,3,4,0.25,0.8,51,Neutral,Frequent,Low Volume
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15,-385.215235,426902.16,10946.209230769231,5,18,23,0.21739130434782608,2.25,51,Neutral,Frequent,Low Volume
