,broad_sentiment,frequency_segment,volume_segment,avg_daily_pnl,avg_win_rate
0,Fear,Frequent,High Volume,3894.796006824561,0.8245175004838602
1,Fear,Frequent,Low Volume,1934.1939755654596,0.8635553229944777
2,Fear,Infrequent,High Volume,17834.414009978263,0.8671210455511164
3,Fear,Infrequent,Low Volume,811.191230323077,0.6558323777456146
4,Greed,Frequent,High Volume,3540.961945094828,0.9081102851519024
5,Greed,Frequent,Low Volume,3289.6880178120186,0.8332523170851317
6,Greed,Infrequent,High Volume,10244.103200921349,0.7833585451470005
7,Greed,Infrequent,Low Volume,6662.649071465909,0.9378182530356444
8,Neutral,Frequent,High Volume,660.192176153846,0.877977191035586
9,Neutral,Frequent,Low Volume,2530.55546379602,0.8103918939170877
10,Neutral,Infrequent,High Volume,14176.1218711,0.8469764262731075
11,Neutral,Infrequent,Low Volume,7777.314881833333,0.7777777777777778
